author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
"Christopher Lamb, Sophie Tanno",Pope Leo condemns exploitation of the poor at inaugural mass - CNN,"Leo XIV, the first ever American pope, condemned the exploitation of the poor and called for unity in the church during his inaugural Mass in St. Peter’s Square, an event attended by world leaders, royalty and tens of thousands of believers.",https://www.cnn.com/2025/05/18/europe/pope-leo-inauguration-mass-intl,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2215109125.jpg?c=16x9&q=w_800,c_fill",2025-05-18T10:16:00Z,"Leo XIV, the first ever American pope, condemned the exploitation of the poor and called for unity in the church during his inaugural Mass in St. Peters Square, an event attended by world leaders, ro… [+3565 chars]",cnn,CNN
,"Russia launches biggest drone attack on Ukraine since start of war, killing at least 1 - AP News","Russia has launched its most intense drone attack on Ukraine since the beginning of its full-scale invasion in 2022, Ukrainian officials confirmed to the Associated Press. Russia fired a total of 273 exploding drones and decoys overnight, Ukraine’s air force …",https://apnews.com/article/russia-ukraine-drone-attack-deadly-ceasefire-talks-b18d7ad72951680f24dbf289976c6251,https://dims.apnews.com/dims4/default/9f63465/2147483647/strip/true/crop/2000x1125+0+188/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F1e%2Fa9%2F40f51800552b248d91de19b4a1c4%2Fc208c2b4f82448d5a20727e94cd77dcc,2025-05-18T10:06:00Z,"KYIV, Ukraine (AP) Russia overnight into Sunday launched its most intense drone attack on Ukraine since the beginning of its full-scale invasion in 2022, after the first direct talks between Moscow a… [+1785 chars]",associated-press,Associated Press
Jordan Valinsky,"After years of flying high, celebrity tequila braces for impact - CNN","Matthew and Camila McConaughey’s tequila, Pantalones, is anything but subtle. After all, the husband and wife cofounders stand proudly pantsless in many of their ads as a cheeky away to promote the nearly two-year-old brand.",https://www.cnn.com/2025/05/18/food/tequila-popularity-sales-2025,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-1458029770.jpg?c=16x9&q=w_800,c_fill",2025-05-18T07:00:00Z,"Its tough out there to be a tequila maker not even Kendall Jenner is immune from the industrys challenges.
818 Tequila, the four-year-old brand owned by Jenner, has slowed down hiring and dialed bac… [+3875 chars]",cnn,CNN
Candace Buckner,Column | Caitlin Clark fouled Angel Reese — and the WNBA was officially back - The Washington Post,"After a sometimes exhausting rookie season in the WNBA, the Caitlin Clark-Angel Reese rivalry didn’t wait long to reappear in Year 2.",https://www.washingtonpost.com/sports/2025/05/17/caitlin-clark-angel-reese-fever-sky/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/DLJES2BSTHY4MHIGBUMB4E6NTI_size-normalized.jpg&w=1440,2025-05-18T06:48:12Z,"INDIANAPOLIS Caitlin Clark had to have known it was coming. Even before she could walk off the Gainbridge Fieldhouse court Saturday evening, return to the locker room and plug back into the awfully o… [+5806 chars]",the-washington-post,The Washington Post
"Perry Stein, Jeremy Roebuck",Trump Justice Dept. considers removing key check on lawmaker prosecutions - The Washington Post,The Justice Department’s Public Integrity Section is charged with ensuring cases against elected officials are not politically motivated. The Trump administration is considering changing that.,https://www.washingtonpost.com/national-security/2025/05/17/trump-justice-department-prosecutions/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/3LGEFM5EC7OXFAHTU5UDTIYVZA.jpg&w=1440,2025-05-18T06:05:48Z,"Federal prosecutors across the country may soon be able to indict members of Congress without approval from lawyers in the Justice Departments Public Integrity Section, according to three people fami… [+7031 chars]",the-washington-post,The Washington Post
,Newspaper headlines: 'Surrender summit' and 'Post Office choir' - BBC,Monday's EU-UK summit dominates the papers with Starmer's new deal under scrutiny.,https://www.bbc.com/news/articles/c4grm67d01jo,https://ichef.bbci.co.uk/news/1024/branded_news/3e43/live/3e368e60-336d-11f0-96c3-cf669419a2b0.jpg,2025-05-18T04:37:23Z,"The Sunday Telegraph leads with the prime minister's defence of his upcoming expected deal with the European Union. 
Its front page says ""PM insists deal benefits UK"". 
Ahead of Monday's summit in … [+1941 chars]",,BBC News
Rob Picheta,Austria’s JJ wins Eurovision 2025 with ‘Wasted Love’ - CNN,"Austria won its third Eurovision Song Contest after a glittering grand final in neighboring Switzerland, with singer JJ earning the continent’s votes for the operatic pop anthem “Wasted Love.”",https://www.cnn.com/2025/05/17/entertainment/eurovision-song-contest-winner-austria-jj-latam-intl,"https://media.cnn.com/api/v1/images/stellar/prod/ap25137838937604.jpg?c=16x9&q=w_800,c_fill",2025-05-18T04:36:00Z,"Austria won its third Eurovision Song Contest after a glittering grand final in neighboring Switzerland, with singer JJ earning the continents votes for the operatic pop anthem Wasted Love.
The song… [+2411 chars]",cnn,CNN
Sally Brompton,"Your lookahead horoscope: May 18, 2025 - The Globe and Mail","Your daily horoscope for Sunday, May 18, 2025",https://www.theglobeandmail.com/life/horoscopes/article-your-lookahead-horoscope-may-18-2025/,https://www.theglobeandmail.com/resizer/v2/QRLICHHNZVF5VDO6TJEWU6H2VI.png?auth=3d92a014320e119eae2709c00629a3775603f89c5ecf0b24010e2298364f423b&width=1200&height=800&quality=80&smart=true,2025-05-18T04:01:00Z,"Open this photo in gallery:TaurusiStockPhoto / Getty Images
The higher you set your sights this year the more you will attract criticism from people who say you are getting ideas above your station.… [+3070 chars]",the-globe-and-mail,The Globe And Mail
Staff Report,"Live lineup updates, results from 2025 All-Star Race Weekend - NASCAR.com","View how the 2025 NASCAR All-Star Race Weekend at North Wilkesboro Speedway works, including lineups being established in real time.",https://www.nascar.com/news-media/2025/05/17/live-lineup-updates-results-from-2025-all-star-race-weekend/,https://www.nascar.com/wp-content/uploads/sites/7/2025/05/17/2025-may17-all-star-wilkesboro-heat-green-672x372.jpg,2025-05-18T03:21:53Z,"For the third consecutive season, NASCAR All-Star Race Weekend takes place in North Carolina at North Wilkesboro Speedway, culminating with Sunday’s All-Star Race (8 p.m. ET, FS1, MRN Radio, SiriusXM… [+7664 chars]",,NASCAR
Lauran Neergaard,FDA approves Novavax COVID-19 shot but with unusual restrictions - AP News,"The Food and Drug Administration has approved Novavax's COVID-19 vaccine but with unusual restrictions. Novavax makes the nation's only traditional protein-based coronavirus vaccine and while it has long been authorized for use, it had expected full approval …",https://apnews.com/article/novavax-covid19-vaccine-fda-a477c1aa612ceb293e70d904b46611b0,https://dims.apnews.com/dims4/default/877d8cb/2147483647/strip/true/crop/4959x2789+0+258/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F49%2F18%2Fa071c1a2e9c2e25a5d5a31f70451%2Fbb1f9522401d46799998e0a09444a3b9,2025-05-18T02:21:00Z,"WASHINGTON (AP) The Food and Drug Administration has issued a long-awaited approval of Novavaxs COVID-19 vaccine but with unusual restrictions.
Novavax makes the nations only traditional protein-bas… [+2479 chars]",associated-press,Associated Press
